title,year,age,imdb,rotten_tomatoes,netflix,hulu,prime_video,disney+,imdb_raw,rotten_raw,themes,description
Friday Night Lights,2006,7+,8.6/10,83/100,0,1,1,0,8.6,83.0,Drama Sport,"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor."
Taboo,2017,18+,8.4/10,83/100,0,1,0,0,8.4,83.0,Drama Mystery Thriller,"Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father's shipping empire. However, both the government and his biggest competitor want his inheritance at any cost--even murder."
Pride and Prejudice,1995,all,8.8/10,83/100,0,1,0,0,8.8,83.0,Drama Romance,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
Normal People,2020,16+,8.5/10,83/100,0,1,0,0,8.5,83.0,Drama Romance,"Follows Marianne and Connell, from different backgrounds but the same small town in Ireland, as they weave in and out of each other's romantic lives."
Black Sails,2014,18+,8.2/10,83/100,0,1,0,0,8.2,83.0,Action Adventure Drama,"Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island."""
Elementary,2012,16+,7.9/10,83/100,0,1,0,0,7.9,83.0,Crime Drama Mystery,"A modern take on the cases of Sherlock Holmes, with the detective now living in New York City."
Veronica Mars,2004,16+,8.3/10,83/100,0,1,0,0,8.3,83.0,Crime Drama Mystery,"After her best friend is murdered, and her father is removed as county Sheriff, Veronica Mars dedicates her life to cracking the toughest mysteries in the affluent town of Neptune."
11.22.63,2016,18+,8.2/10,83/100,0,1,0,0,8.2,83.0,Drama Mystery Romance,A high school teacher travels back in time to prevent John F. Kennedy's assassination.
Nathan For You,2013,16+,8.9/10,82/100,0,1,0,0,8.9,82.0,Documentary Comedy,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for."
Mr. Bean,1990,all,8.5/10,82/100,0,1,1,0,8.5,82.0,Comedy Family,"Bumbling, childlike Mr. Bean has trouble completing the simplest of day-to-day tasks, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems."
Bones,2005,16+,7.8/10,82/100,0,1,1,0,7.8,82.0,Comedy Crime Drama,"Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones."
The Killing,2011,18+,8.2/10,82/100,0,1,0,0,8.2,82.0,Crime Drama Mystery,"A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car."
Naruto Shippūden,2007,7+,8.6/10,82/100,0,1,0,0,8.6,82.0,Animation Action Adventure,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
Burn Notice,2007,7+,7.9/10,82/100,0,1,1,0,7.9,82.0,Action Crime Drama,A spy recently disavowed by the U.S. government uses his special ops training to help others in trouble.
Steins;Gate,2011,16+,8.8/10,82/100,0,1,0,0,8.8,82.0,Animation Comedy Drama,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
Family Guy,1999,16+,8.1/10,82/100,0,1,0,0,8.1,82.0,Animation Comedy,"In a wacky Rhode Island town, a dysfunctional family strives to cope with everyday life as they are thrown from one crazy scenario to another."
Cheers,1982,7+,7.9/10,82/100,0,1,1,0,7.9,82.0,Comedy Drama,"The regulars of the Boston bar ""Cheers"" share their experiences and lives with each other while drinking or working at the bar where everybody knows your name."
